ID,Weight,Value,Shelf Life
1,114.08,287.68,5.14
2,103.63,261.82,1.61
3,80.6,269.42,2.36
4,131.86,402.02,5.57
5,117.6,435.09,5.22
6,89.67,359.06,1.55
7,138.17,479.12,3.62
8,140.92,227.96,5.37
9,73.1,308.5,2.22
10,140.02,447.28,4.44
11,90.95,284.52,1.4
12,118.52,354.98,5.09
13,103.41,415.48,2.83
14,114.35,470.63,4.82
15,67.96,224.22,5.38
16,111.85,345.93,1.29
17,139.88,361.3,3.98
18,58.93,326.01,2.69
19,100.28,486.31,3.75
20,112.44,438.11,2.82
21,53.73,291.35,5.52
22,142.3,317.36,2.2
23,130.84,447.58,5.15
24,113.18,445.76,5.34
25,63.59,488.65,1.33
26,52.38,339.32,1.34
27,57.35,232.5,4.6
28,52.32,415.92,3.94
29,69.87,369.67,2.4
30,79.61,494.73,1.25
31,63.33,351.74,5.34
32,59.54,405.46,1.01
33,71.17,443.69,5.64
34,143.42,330.27,1.84
35,107.98,496.32,5.05
36,97.36,421.1,1.62
37,106.68,356.55,3.67
38,78.89,358.89,3.74
39,127.07,380.29,5.67
40,146.59,226.86,2.22
41,79.03,325.11,2.46
42,86.18,463.83,3.08
43,130.26,321.15,1.21
44,106.27,462.91,2.92
45,130.5,224.71,3.46
46,125.26,359.28,4.29
47,135.34,416.05,1.7
48,103.57,222.27,1.77
49,92.3,213.16,5.92
50,148.57,293.54,4.29
51,108.39,231.39,4.24
52,79.22,413.15,1.2
53,102.4,450.55,1.75
54,59.31,298.21,1.47
55,56.39,458.25,3.31
56,117.56,327.39,2.67
57,63.17,482.26,4.09
58,102.72,291.9,3.69
59,67.67,491.49,3.85
60,94.22,270.4,3.05
61,122.83,343.31,4.97
62,130.83,405.27,1.28
63,118.64,265.32,3.09
64,148.72,300.1,1.02
65,146.03,413.24,1.3
66,64.08,283.32,5.66
67,59.68,419.04,5.59
68,104.08,334.95,3.44
69,72.51,240.57,5.42
70,85.99,249.07,3.92
71,76.42,429.16,2.71
72,59.54,417.9,5.8
73,135.13,427.27,4.03
74,103.12,396.02,4.12
75,64.7,340.49,3.26
76,97.41,386.3,1.15
77,50.01,452.79,4.66
78,58.9,374.8,5.53
79,75.29,292.3,5.59
80,115.14,489.85,5.12
81,123.35,210.68,1.5
82,61.14,359.74,5.91
83,117.31,355.29,1.42
84,118.53,215.66,4.35
85,119.1,493.45,5.16
86,90.39,397.42,1.41
87,93.01,462.29,4.48
88,125.04,451.87,3.21
89,128.97,470.89,4.7
90,134.59,307.39,3.09
91,90.56,491.82,4.45
92,74.4,448.74,1.14
93,51.55,413.31,4.51
94,59.73,202.13,4.11
95,51.86,476.81,5.04
96,127.31,254.78,1.07
97,80.8,211.59,5.99
98,119.54,469.82,3.33
99,133.64,298.53,1.18
100,60.88,476.96,5.55
