User ID,Basic Salary
1,46275
2,13104
3,31886
4,36181
5,44648
6,11516
7,16348
8,19677
9,20917
10,47703
11,46163
12,32834
13,48452
14,27540
15,13964
16,46672
17,12253
18,30902
19,38839
20,30127
21,26310
22,14543
23,32183
24,30755
25,19419
26,27298
27,19032
28,30444
29,26037
30,12775
31,38236
32,45898
33,33746
34,11837
35,30621
36,23618
37,42873
38,15296
39,18232
40,14925
41,28172
42,12427
43,15323
44,14400
45,47814
46,12340
47,18580
48,27868
49,27474
50,34252
51,49188
52,34539
53,23793
54,12760
55,31578
56,15272
57,48761
58,33547
59,35910
60,35963
61,22712
62,48169
63,18267
64,32489
65,46466
66,29836
67,15810
68,27465
69,26051
70,36304
71,29925
72,32281
73,43766
74,13190
75,23741
76,22872
77,37938
78,44511
79,41428
80,37917
81,13674
82,22239
83,11657
84,39095
85,15893
86,38320
87,43389
88,30969
89,26012
90,11269
91,24607
92,41465
93,46613
94,28382
95,15988
96,35250
97,29197
98,10046
99,34934
100,23585
101,28181
102,14354
103,18351
104,20494
105,33945
106,17217
107,43774
108,12455
109,36473
110,30338
111,13090
112,49480
113,24458
114,37665
115,30513
116,40936
117,23094
118,22530
119,39230
120,23390
121,11586
122,31902
123,26934
124,19189
125,19142
126,33619
127,22334
128,34861
129,22184
130,15216
131,11804
132,35183
133,18196
134,17122
135,13830
136,15632
137,22976
138,26456
139,38362
140,46429
141,14959
142,43927
143,13003
144,48746
145,25576
146,45144
147,10476
148,36719
149,14824
150,17422
151,11208
152,16661
153,37664
154,32572
155,49555
156,33644
157,28042
158,22385
159,46225
160,10646
161,25263
162,36029
163,42418
164,46561
165,30680
166,32261
167,22632
168,40787
169,45756
170,47901
171,43020
172,29126
173,40491
174,48881
175,30785
176,46488
177,43260
178,20620
179,49972
180,26889
181,49442
182,38849
183,47970
184,10192
185,21864
186,43523
187,34926
188,31956
189,44724
190,33842
191,44264
192,18291
193,42612
194,10748
195,25637
196,48091
197,46675
198,31992
199,11216
200,18581
201,39709
202,24801
203,48492
204,47275
205,30402
206,33309
207,21668
208,31470
209,19844
210,47029
211,24660
212,21153
213,15805
214,17638
215,44341
216,42422
217,33050
218,48608
219,31769
220,25520
221,26663
222,37194
223,41651
224,24015
225,40762
226,37519
227,47735
228,26191
229,16157
230,41190
231,21357
232,29613
233,14442
234,39911
235,45899
236,39339
237,44788
238,20760
239,38022
240,22264
241,15079
242,39799
243,37448
244,39358
245,42063
246,13609
247,30094
248,16748
249,15554
250,12320
251,47446
252,36267
253,15006
254,27955
255,14307
256,10453
257,15754
258,36508
259,37131
260,28058
261,39628
262,29080
263,49168
264,13451
265,35049
266,45940
267,30031
268,24953
269,39003
270,23084
271,19404
272,27893
273,18329
274,37172
275,14979
276,48378
277,10370
278,33163
279,46919
280,23874
281,35008
282,22335
283,32640
284,31682
285,15410
286,19856
287,35932
288,34108
289,33415
290,28595
291,12505
292,43758
293,28850
294,30401
295,43722
296,26776
297,12723
298,27943
299,26798
300,45497
301,23922
302,41956
303,10070
304,41187
305,49543
306,12397
307,34284
308,17159
309,30475
310,30176
311,41482
312,20364
313,11199
314,12584
315,20017
316,22508
317,42641
318,46416
319,12348
320,44394
321,28948
322,49473
323,40321
324,42798
325,15463
326,32869
327,32451
328,33999
329,22356
330,27795
331,30534
332,17560
333,23346
334,31456
335,34132
336,42909
337,31095
338,23523
339,48398
340,24325
341,21180
342,21039
343,15354
344,24483
345,40087
346,36721
347,15006
348,41678
349,18703
350,11745
351,44510
352,29913
353,37026
354,14559
355,15404
356,39157
357,37223
358,26587
359,40369
360,21283
361,37920
362,47950
363,20681
364,18441
365,41966
366,13786
367,45381
368,20489
369,16825
370,40398
371,15805
372,38659
373,40146
374,11879
375,24392
376,17567
377,47165
378,42785
379,38767
380,20681
381,33276
382,20169
383,17132
384,46692
385,13556
386,18229
387,11227
388,24999
389,39772
390,20868
391,23184
392,29092
393,31712
394,27463
395,13715
396,46094
397,49786
398,25991
399,26394
400,13526
401,29300
402,23178
403,29077
404,26422
405,15503
406,22882
407,43298
408,36823
409,30373
410,19779
411,44585
412,26999
413,19520
414,34790
415,15901
416,11778
417,15014
418,23570
419,25510
420,16413
421,21417
422,22283
423,23789
424,46850
425,11866
426,25449
427,25062
428,14364
429,21806
430,44674
431,18209
432,16055
433,45122
434,33576
435,32217
436,22104
437,49130
438,30301
439,25511
440,39829
441,20787
442,10662
443,15653
444,41018
445,44959
446,34086
447,23627
448,44097
449,43659
450,42999
451,16877
452,18908
453,23542
454,15744
455,33801
456,28514
457,46405
458,32426
459,13318
460,49990
461,43756
462,30344
463,47672
464,38642
465,16378
466,20895
467,22954
468,46806
469,22689
470,15414
471,43000
472,17685
473,19792
474,13719
475,33080
476,41221
477,38993
478,30118
479,30551
480,15590
481,43237
482,41359
483,40422
484,27168
485,26588
486,34551
487,21221
488,23790
489,29916
490,23712
491,33364
492,48284
493,45744
494,23748
495,24731
496,43252
497,31593
498,10986
499,47068
500,21540
501,27133
502,12065
503,37107
504,15196
505,16240
506,27781
507,43877
508,14710
509,30362
510,12724
511,28685
512,25151
513,15365
514,47360
515,39946
516,22020
517,23333
518,12147
519,24125
520,27903
521,29477
522,37521
523,39806
524,28105
525,38682
526,47260
527,18815
528,20212
529,11296
530,26924
531,40797
532,26392
533,33929
534,38182
535,27138
536,26928
537,38330
