ID,Weight,Value,Shelf Life
1,125.63,278.36,5.19
2,102.38,233.04,3.55
3,118.83,399.86,1.78
4,124.69,356.65,5.63
5,78.82,240.47,5.66
6,61.19,429.01,4.88
7,139.88,409.85,4.92
8,52.23,344.81,2.94
9,98.45,362.88,4.72
10,137.25,391.34,1.1
11,58.57,300.52,2.05
12,89.01,474.26,5.79
13,145.31,274.1,1.15
14,80.01,265.78,5.78
15,113.72,223.89,5.26
16,144.65,467.16,2.43
17,114.42,332.11,4.75
18,145.76,342.41,1.79
19,70.06,436.83,5.09
20,146.52,387.06,5.54
21,78.76,269.3,5.72
22,109.75,473.19,2.94
23,112.79,384.23,2.36
24,149.11,425.24,5.51
25,78.89,395.69,5.02
26,101.82,353.61,5.55
27,116.68,255.03,5.49
28,77.17,232.68,5.22
29,105.88,240.29,1.73
30,136.03,309.9,4.02
31,107.7,288.05,4.1
32,107.83,356.88,4.01
33,128.4,332.24,1.51
34,100.28,243.48,5.34
35,102.25,239.52,1.49
36,99.43,278.58,5.61
37,60.87,268.11,4.54
38,107.53,265.66,1.17
39,123.32,209.83,2.77
40,114.24,437.2,2.98
41,129.41,302.69,3.77
42,111.52,239.25,1.64
43,130.59,442.37,5.6
44,117.46,412.38,5.29
45,143.24,473.8,4.65
46,66.36,439.58,5.1
47,119.17,342.32,5.45
48,65.42,382.03,2.75
49,118.84,242.15,2.5
50,139.03,220.24,3.06
51,65.63,385.21,1.27
52,55.5,412.69,1.28
53,91.04,442.34,4.81
54,128.08,373.49,1.9
55,116.09,401.01,4.25
56,116.79,369.1,3.24
57,108.52,304.43,5.12
58,125.03,396.82,5.25
59,76.53,374.45,4.71
60,130.87,330.81,3.09
61,102.77,423.52,2.1
62,65.23,457.32,1.52
63,111.64,497.44,4.94
64,99.4,243.85,5.07
65,146.26,311.01,5.02
66,138.85,433.7,2.87
67,95.04,277.0,3.89
68,144.05,497.18,5.25
69,132.61,454.67,1.32
70,113.16,385.44,1.8
71,133.23,451.79,3.94
72,96.53,245.8,5.58
73,67.3,329.8,2.23
74,51.03,203.38,4.23
75,124.85,481.2,2.35
76,111.79,293.94,3.35
77,148.94,395.98,2.31
78,149.86,380.54,4.52
79,104.68,393.09,1.67
80,103.73,489.04,5.42
81,57.84,468.99,3.48
82,96.74,295.95,5.56
83,119.7,382.21,5.89
84,84.24,269.35,4.43
85,123.95,487.89,2.03
86,62.24,259.48,2.45
87,63.02,233.05,3.73
88,70.0,249.79,2.58
89,137.41,304.58,4.74
90,144.95,308.09,4.76
91,98.98,399.96,1.33
92,60.99,495.01,3.52
93,123.67,326.38,3.32
94,78.12,224.96,1.42
95,129.72,270.16,3.22
96,128.34,390.42,3.62
97,140.12,372.97,3.16
98,118.16,448.45,3.8
99,65.79,467.13,3.23
100,70.6,493.41,5.32
